slug,agency,city,state,is_portal,portal_url,connection_count,latitude,longitude
lakeshore-homes-association-ca-,Lakeshore Homes Assoc. CA PD,Lakeshore Homes Assoc.,CA,True,https://transparency.flocksafety.com/lakeshore-homes-association-ca-,9,37.8077,-122.2303
lassen-county-so-ca,Lassen County CA SO,Lassen County,CA,True,https://transparency.flocksafety.com/lassen-county-so-ca,176,40.7153,-120.6212
lathrop-ca-pd-,Lathrop CA PD,Lathrop,CA,True,https://transparency.flocksafety.com/lathrop-ca-pd-,320,37.8087,-121.3178
city-of-lemoore-ca,Lemoore CA PD,Lemoore,CA,True,https://transparency.flocksafety.com/city-of-lemoore-ca,275,36.2944,-119.7983
lincoln-ca-pd,Lincoln CA PD,Lincoln,CA,True,https://transparency.flocksafety.com/lincoln-ca-pd,360,38.8745,-121.2929
livermore-ca-pd,Livermore CA PD,Livermore,CA,True,https://transparency.flocksafety.com/livermore-ca-pd,352,37.687,-121.7598
livingston-ca-pd,Livingston CA PD,Livingston,CA,True,https://transparency.flocksafety.com/livingston-ca-pd,120,37.3873,-120.7249
lodi-ca-pd,Lodi CA PD,Lodi,CA,True,https://transparency.flocksafety.com/lodi-ca-pd,386,38.1216,-121.2908
lompoc-ca-pd,Lompoc CA PD,Lompoc,CA,True,https://transparency.flocksafety.com/lompoc-ca-pd,147,34.6627,-120.4708
los-altos-ca-pd,Los Altos CA PD,Los Altos,CA,True,https://transparency.flocksafety.com/los-altos-ca-pd,168,37.3684,-122.0966
los-gatos-ca-pd,Los Gatos CA PD,Los Gatos,CA,True,https://transparency.flocksafety.com/los-gatos-ca-pd,16,37.2299,-121.9568
madera-ca-pd,Madera CA PD,Madera,CA,True,https://transparency.flocksafety.com/madera-ca-pd,256,36.9658,-120.0862
mammoth-lakes-ca-pd,Mammoth Lakes CA PD,Mammoth Lakes,CA,True,https://transparency.flocksafety.com/mammoth-lakes-ca-pd,14,37.6244,-118.9884
manteca-ca-pd,Manteca CA PD,Manteca,CA,True,https://transparency.flocksafety.com/manteca-ca-pd,377,37.7928,-121.2261
marin-county-ca-so,Marin County CA SO,Marin County,CA,True,https://transparency.flocksafety.com/marin-county-ca-so,163,38.0514,-122.7464
marina-ca-pd,Marina CA PD,Marina,CA,True,https://transparency.flocksafety.com/marina-ca-pd,309,36.6803,-121.7894
mcfarland-ca-pd,McFarland CA PD,McFarland,CA,True,https://transparency.flocksafety.com/mcfarland-ca-pd,336,35.6673,-119.2307
mendocino-county-soca,Mendocino County CA SO,Mendocino County,CA,True,https://transparency.flocksafety.com/mendocino-county-soca,339,39.4324,-123.4429
menifee-ca-pd,Menifee CA PD,Menifee,CA,True,https://transparency.flocksafety.com/menifee-ca-pd,357,33.6899,-117.1844
menlo-park-ca-pd,Menlo Park CA PD,Menlo Park,CA,True,https://transparency.flocksafety.com/menlo-park-ca-pd,154,37.4797,-122.1481
merced-county-ca-so,Merced County CA SO,Merced County,CA,True,https://transparency.flocksafety.com/merced-county-ca-so,156,37.3057,-120.4779
mill-valley-ca-pd,Mill Valley CA PD,Mill Valley,CA,True,https://transparency.flocksafety.com/mill-valley-ca-pd,141,37.9081,-122.5423
modoc-county-ca-so,Modoc County CA SO,Modoc County,CA,True,https://transparency.flocksafety.com/modoc-county-ca-so,329,41.5929,-120.7184
monrovia-ca-pd,Monrovia CA PD,Monrovia,CA,True,https://transparency.flocksafety.com/monrovia-ca-pd,325,34.164,-117.9846
montclair-ca-pd,Montclair CA PD,Montclair,CA,True,https://transparency.flocksafety.com/montclair-ca-pd,354,34.0715,-117.6981
monte-sereno-ca-pd,Monte Sereno CA PD,Monte Sereno,CA,True,https://transparency.flocksafety.com/monte-sereno-ca-pd,15,37.2404,-121.9882
monterey-ca-pd,Monterey CA PD,Monterey,CA,True,https://transparency.flocksafety.com/monterey-ca-pd,158,36.6012,-121.8831
