data_owner_slug,data_owner_agency,data_owner_city,data_owner_state,agency_with_access_slug,agency_with_access,agency_with_access_city,agency_with_access_state,relationship,owner_portal_url,source,source_generated_at
beecher-il-pd,Beecher IL PD,Beecher,IL,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/beecher-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
beecher-il-pd,Beecher IL PD,Beecher,IL,south-chicago-heights-il-pd,South Chicago Heights IL PD,South Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/beecher-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
beecher-il-pd,Beecher IL PD,Beecher,IL,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/beecher-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
beecher-il-pd,Beecher IL PD,Beecher,IL,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/beecher-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
bethany-il-pd,Bethany IL PD,Bethany,IL,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/bethany-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
bethany-il-pd,Bethany IL PD,Bethany,IL,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/bethany-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
bloomfield-nm-pd,Bloomfield NM PD,Bloomfield,NM,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/bloomfield-nm-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
bloomfield-nm-pd,Bloomfield NM PD,Bloomfield,NM,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/bloomfield-nm-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
blue-island-il-pd,Blue Island IL PD,Blue Island,IL,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/blue-island-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
blue-island-il-pd,Blue Island IL PD,Blue Island,IL,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/blue-island-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
blue-island-il-pd,Blue Island IL PD,Blue Island,IL,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/blue-island-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
blue-island-il-pd,Blue Island IL PD,Blue Island,IL,south-chicago-heights-il-pd,South Chicago Heights IL PD,South Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/blue-island-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
blue-island-il-pd,Blue Island IL PD,Blue Island,IL,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/blue-island-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
blue-island-il-pd,Blue Island IL PD,Blue Island,IL,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/blue-island-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
blue-springs-mo-pd,Blue Springs MO PD,Blue Springs,MO,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/blue-springs-mo-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
blue-springs-mo-pd,Blue Springs MO PD,Blue Springs,MO,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/blue-springs-mo-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
blue-springs-mo-pd,Blue Springs MO PD,Blue Springs,MO,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/blue-springs-mo-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
blue-springs-mo-pd,Blue Springs MO PD,Blue Springs,MO,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/blue-springs-mo-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
boone-county-in-so,Boone County IN SO,Boone County,IN,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/boone-county-in-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
boone-county-in-so,Boone County IN SO,Boone County,IN,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/boone-county-in-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
boone-county-in-so,Boone County IN SO,Boone County,IN,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/boone-county-in-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
boone-county-in-so,Boone County IN SO,Boone County,IN,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/boone-county-in-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
boone-county-in-so,Boone County IN SO,Boone County,IN,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/boone-county-in-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
bourbonnais-il-pd,Bourbonnais IL PD,Bourbonnais,IL,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/bourbonnais-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
bourbonnais-il-pd,Bourbonnais IL PD,Bourbonnais,IL,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/bourbonnais-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
bourbonnais-il-pd,Bourbonnais IL PD,Bourbonnais,IL,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/bourbonnais-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
bourbonnais-il-pd,Bourbonnais IL PD,Bourbonnais,IL,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/bourbonnais-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
bourbonnais-il-pd,Bourbonnais IL PD,Bourbonnais,IL,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/bourbonnais-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
bradley-il-pd,Bradley IL PD,Bradley,IL,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/bradley-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
bradley-il-pd,Bradley IL PD,Bradley,IL,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/bradley-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
bradley-il-pd,Bradley IL PD,Bradley,IL,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/bradley-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
bradley-il-pd,Bradley IL PD,Bradley,IL,south-chicago-heights-il-pd,South Chicago Heights IL PD,South Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/bradley-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
bradley-il-pd,Bradley IL PD,Bradley,IL,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/bradley-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
bradley-il-pd,Bradley IL PD,Bradley,IL,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/bradley-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
breese-il-pd,Breese IL PD,Breese,IL,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/breese-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
breese-il-pd,Breese IL PD,Breese,IL,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/breese-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
breese-il-pd,Breese IL PD,Breese,IL,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/breese-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
breese-il-pd,Breese IL PD,Breese,IL,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/breese-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
breese-il-pd,Breese IL PD,Breese,IL,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/breese-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
brentwood-mo-pd,Brentwood MO PD,Brentwood,MO,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/brentwood-mo-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
burr-ridge-il-pd,Burr Ridge IL PD,Burr Ridge,IL,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/burr-ridge-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
burr-ridge-il-pd,Burr Ridge IL PD,Burr Ridge,IL,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/burr-ridge-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
burr-ridge-il-pd,Burr Ridge IL PD,Burr Ridge,IL,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/burr-ridge-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
burr-ridge-il-pd,Burr Ridge IL PD,Burr Ridge,IL,south-chicago-heights-il-pd,South Chicago Heights IL PD,South Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/burr-ridge-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
burr-ridge-il-pd,Burr Ridge IL PD,Burr Ridge,IL,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/burr-ridge-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
burr-ridge-il-pd,Burr Ridge IL PD,Burr Ridge,IL,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/burr-ridge-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
calloway-county-ky-so,Calloway County KY SO,Calloway County,KY,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/calloway-county-ky-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
calloway-county-ky-so,Calloway County KY SO,Calloway County,KY,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/calloway-county-ky-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
calloway-county-ky-so,Calloway County KY SO,Calloway County,KY,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/calloway-county-ky-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
calloway-county-ky-so,Calloway County KY SO,Calloway County,KY,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/calloway-county-ky-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
carlyle-il-pd,Carlyle IL PD,Carlyle,IL,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/carlyle-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
carlyle-il-pd,Carlyle IL PD,Carlyle,IL,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/carlyle-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
carlyle-il-pd,Carlyle IL PD,Carlyle,IL,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/carlyle-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
carlyle-il-pd,Carlyle IL PD,Carlyle,IL,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/carlyle-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
carlyle-il-pd,Carlyle IL PD,Carlyle,IL,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/carlyle-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
casey-il-pd,Casey IL PD,Casey,IL,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/casey-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
casey-il-pd,Casey IL PD,Casey,IL,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/casey-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
casey-il-pd,Casey IL PD,Casey,IL,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/casey-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
casey-il-pd,Casey IL PD,Casey,IL,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/casey-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
casey-il-pd,Casey IL PD,Casey,IL,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/casey-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
cass-county-il-so,Cass County IL SO,Cass County,IL,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/cass-county-il-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
cass-county-il-so,Cass County IL SO,Cass County,IL,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/cass-county-il-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
cass-county-il-so,Cass County IL SO,Cass County,IL,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/cass-county-il-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
cass-county-il-so,Cass County IL SO,Cass County,IL,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/cass-county-il-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
cass-county-il-so,Cass County IL SO,Cass County,IL,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/cass-county-il-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
chatham-il-pd,Chatham IL PD,Chatham,IL,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/chatham-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
chatham-il-pd,Chatham IL PD,Chatham,IL,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/chatham-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
chatham-il-pd,Chatham IL PD,Chatham,IL,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/chatham-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
chatham-il-pd,Chatham IL PD,Chatham,IL,south-chicago-heights-il-pd,South Chicago Heights IL PD,South Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/chatham-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
chatham-il-pd,Chatham IL PD,Chatham,IL,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/chatham-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
chatham-il-pd,Chatham IL PD,Chatham,IL,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/chatham-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
clark-county-oh-so,Clark County OH SO,Clark County,OH,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/clark-county-oh-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
clark-county-oh-so,Clark County OH SO,Clark County,OH,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/clark-county-oh-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
clark-county-oh-so,Clark County OH SO,Clark County,OH,south-chicago-heights-il-pd,South Chicago Heights IL PD,South Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/clark-county-oh-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
clive-ia-pd,Clive IA PD,Clive,IA,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/clive-ia-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
clive-ia-pd,Clive IA PD,Clive,IA,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/clive-ia-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
clive-ia-pd,Clive IA PD,Clive,IA,south-chicago-heights-il-pd,South Chicago Heights IL PD,South Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/clive-ia-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
clive-ia-pd,Clive IA PD,Clive,IA,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/clive-ia-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
coldwater-mi-pd,Coldwater MI PD,Coldwater,MI,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/coldwater-mi-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
coldwater-mi-pd,Coldwater MI PD,Coldwater,MI,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/coldwater-mi-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
coldwater-mi-pd,Coldwater MI PD,Coldwater,MI,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/coldwater-mi-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
coldwater-mi-pd,Coldwater MI PD,Coldwater,MI,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/coldwater-mi-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
cortland-il-pd,Cortland IL PD,Cortland,IL,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/cortland-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
cortland-il-pd,Cortland IL PD,Cortland,IL,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/cortland-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
cortland-il-pd,Cortland IL PD,Cortland,IL,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/cortland-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
cortland-il-pd,Cortland IL PD,Cortland,IL,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/cortland-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
cottage-grove-wi-pd,Cottage Grove WI PD,Cottage Grove,WI,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/cottage-grove-wi-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
cottage-grove-wi-pd,Cottage Grove WI PD,Cottage Grove,WI,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/cottage-grove-wi-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
cottage-grove-wi-pd,Cottage Grove WI PD,Cottage Grove,WI,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/cottage-grove-wi-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
crystal-lake-il-pd,Crystal Lake IL PD,Crystal Lake,IL,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/crystal-lake-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
crystal-lake-il-pd,Crystal Lake IL PD,Crystal Lake,IL,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/crystal-lake-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
crystal-lake-il-pd,Crystal Lake IL PD,Crystal Lake,IL,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/crystal-lake-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
crystal-lake-il-pd,Crystal Lake IL PD,Crystal Lake,IL,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/crystal-lake-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
crystal-lake-il-pd,Crystal Lake IL PD,Crystal Lake,IL,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/crystal-lake-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
dakota-county-ne-so,Dakota County NE SO,Dakota County,NE,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/dakota-county-ne-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
darien-il-pd,Darien IL PD,Darien,IL,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/darien-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
darien-il-pd,Darien IL PD,Darien,IL,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/darien-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
darien-il-pd,Darien IL PD,Darien,IL,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/darien-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
darien-il-pd,Darien IL PD,Darien,IL,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/darien-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
darien-il-pd,Darien IL PD,Darien,IL,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/darien-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
davenport-ia-pd,Davenport IA PD,Davenport,IA,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/davenport-ia-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
davenport-ia-pd,Davenport IA PD,Davenport,IA,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/davenport-ia-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
davenport-ia-pd,Davenport IA PD,Davenport,IA,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/davenport-ia-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
dekalb-il-pd,DeKalb IL PD,DeKalb,IL,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/dekalb-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
dekalb-il-pd,DeKalb IL PD,DeKalb,IL,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/dekalb-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
defiance-county-oh-so,Defiance County OH SO,Defiance County,OH,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/defiance-county-oh-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
