data_owner_slug,data_owner_agency,data_owner_city,data_owner_state,agency_with_access_slug,agency_with_access,agency_with_access_city,agency_with_access_state,relationship,owner_portal_url,source,source_generated_at
prospect-heights-il-pd,Prospect Heights IL PD,Prospect Heights,IL,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/prospect-heights-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
prospect-heights-il-pd,Prospect Heights IL PD,Prospect Heights,IL,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/prospect-heights-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
richmond-heights-mo-pd,Richmond Heights MO PD,Richmond Heights,MO,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/richmond-heights-mo-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
richmond-heights-mo-pd,Richmond Heights MO PD,Richmond Heights,MO,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/richmond-heights-mo-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
richmond-heights-mo-pd,Richmond Heights MO PD,Richmond Heights,MO,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/richmond-heights-mo-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
richmond-heights-mo-pd,Richmond Heights MO PD,Richmond Heights,MO,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/richmond-heights-mo-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
river-falls-wi-pd,River Falls WI PD,River Falls,WI,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/river-falls-wi-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
riverwoods-il-pd,Riverwoods IL PD,Riverwoods,IL,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/riverwoods-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
riverwoods-il-pd,Riverwoods IL PD,Riverwoods,IL,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/riverwoods-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
riverwoods-il-pd,Riverwoods IL PD,Riverwoods,IL,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/riverwoods-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
riverwoods-il-pd,Riverwoods IL PD,Riverwoods,IL,south-chicago-heights-il-pd,South Chicago Heights IL PD,South Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/riverwoods-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
riverwoods-il-pd,Riverwoods IL PD,Riverwoods,IL,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/riverwoods-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
riverwoods-il-pd,Riverwoods IL PD,Riverwoods,IL,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/riverwoods-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
rockwood-tn-pd,Rockwood TN PD,Rockwood,TN,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/rockwood-tn-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
rockwood-tn-pd,Rockwood TN PD,Rockwood,TN,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/rockwood-tn-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
rockwood-tn-pd,Rockwood TN PD,Rockwood,TN,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/rockwood-tn-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
rockwood-tn-pd,Rockwood TN PD,Rockwood,TN,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/rockwood-tn-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
rolling-meadows-il-pd,Rolling Meadows IL PD,Rolling Meadows,IL,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/rolling-meadows-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
rolling-meadows-il-pd,Rolling Meadows IL PD,Rolling Meadows,IL,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/rolling-meadows-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
rolling-meadows-il-pd,Rolling Meadows IL PD,Rolling Meadows,IL,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/rolling-meadows-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
rolling-meadows-il-pd,Rolling Meadows IL PD,Rolling Meadows,IL,south-chicago-heights-il-pd,South Chicago Heights IL PD,South Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/rolling-meadows-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
rolling-meadows-il-pd,Rolling Meadows IL PD,Rolling Meadows,IL,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/rolling-meadows-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
rolling-meadows-il-pd,Rolling Meadows IL PD,Rolling Meadows,IL,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/rolling-meadows-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
round-lake-park-il-pd,Round Lake Park IL PD,Round Lake Park,IL,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/round-lake-park-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
round-lake-park-il-pd,Round Lake Park IL PD,Round Lake Park,IL,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/round-lake-park-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
round-lake-park-il-pd,Round Lake Park IL PD,Round Lake Park,IL,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/round-lake-park-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
round-lake-park-il-pd,Round Lake Park IL PD,Round Lake Park,IL,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/round-lake-park-il-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
sangamon-county-il-so,Sangamon County IL SO,Sangamon County,IL,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/sangamon-county-il-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
sangamon-county-il-so,Sangamon County IL SO,Sangamon County,IL,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/sangamon-county-il-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
sangamon-county-il-so,Sangamon County IL SO,Sangamon County,IL,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/sangamon-county-il-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
sangamon-county-il-so,Sangamon County IL SO,Sangamon County,IL,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/sangamon-county-il-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
sangamon-county-il-so,Sangamon County IL SO,Sangamon County,IL,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/sangamon-county-il-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
sarpy-county-ne-so,Sarpy County NE SO,Sarpy County,NE,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/sarpy-county-ne-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
sarpy-county-ne-so,Sarpy County NE SO,Sarpy County,NE,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/sarpy-county-ne-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
sarpy-county-ne-so,Sarpy County NE SO,Sarpy County,NE,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/sarpy-county-ne-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
sevierville-tn-pd,Sevierville TN PD,Sevierville,TN,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/sevierville-tn-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
sevierville-tn-pd,Sevierville TN PD,Sevierville,TN,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/sevierville-tn-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
sevierville-tn-pd,Sevierville TN PD,Sevierville,TN,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/sevierville-tn-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
sevierville-tn-pd,Sevierville TN PD,Sevierville,TN,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/sevierville-tn-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
sharon-wi-pd,Sharon WI PD,Sharon,WI,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/sharon-wi-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
shelby-county-tn-so,Shelby County TN SO,Shelby County,TN,chicago-heights-il-pd,Chicago Heights IL PD,Chicago Heights,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/shelby-county-tn-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
shelby-county-tn-so,Shelby County TN SO,Shelby County,TN,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/shelby-county-tn-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
shelby-county-tn-so,Shelby County TN SO,Shelby County,TN,north-chicago-il-pd,North Chicago IL PD,North Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/shelby-county-tn-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
shelby-county-tn-so,Shelby County TN SO,Shelby County,TN,university-of-illinois-chicago-il-pd,University of Illinois - Chicago IL PD,,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/shelby-county-tn-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
shelby-county-tn-so,Shelby County TN SO,Shelby County,TN,west-chicago-il-pd,West Chicago IL PD,West Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/shelby-county-tn-so,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
sidney-oh-pd,Sidney OH PD,Sidney,OH,chicago-il-pd,Chicago IL PD,Chicago,IL,owner_grants_access_to_agency,https://transparency.flocksafety.com/sidney-oh-pd,EyesOnFlock transparency-portal snapshot,2026-09-21T12:12:02Z
